Star Catalog Number   Parallax (mas)   Apparent Magnitude   Blue-minus-Visual Index
1                     20.37            9.10                 0.656
2                     16.60            7.56                 0.656
3                     17.31            8.08                 0.598
4                     17.56            8.31                 0.650
5                     23.84            9.72                 0.789
6                     24.76            9.93                 0.771
7                     25.35            10.06                0.775
8                     27.84            10.47                0.703
9                     19.98            8.74                 0.634
10                    23.11            9.71                 0.596
